Index,Delta Curvature: neural,Delta Curvature: control,Distances,"Rates, correlation empirical vs predicted","Variance, correlation empirical vs predicted","Covariance, correlation empirical vs predicted",Dataset,Pixel curvature,sequence type,dither
86,-40.8764792677828,31.4076398045588,0.53,0.93,0.93,0.90,ay3_u001_image_sequences,84.9883,1,1
87,-25.7761518073847,-7.81773121194360,1.84,0.92,0.92,0.83,ay3_u001_image_sequences,86.3547,1,1
88,-37.9183646275154,-17.5412172571521,0.97,0.94,0.91,0.83,ay3_u001_image_sequences,72.2898,1,1
89,3.08612056429469,-9.73679840178313,0.87,0.79,0.83,0.90,ay3_u001_image_sequences,63.4753,1,1
90,8.74463973301274,1.88318042226518,2.52,0.94,0.94,0.86,ay3_u001_image_sequences,107.481,1,1
91,-4.98695783288998,1.51035222048294,0.88,0.87,0.84,0.79,ay3_u001_image_sequences,99.0342,1,1
92,48.5735173670603,-3.08898718226528,1.17,0.91,0.89,0.86,ay3_u001_image_sequences,103.6573,1,1
93,-23.6405984666184,-12.5484093949614,1.10,0.94,0.91,0.80,ay3_u001_image_sequences,87.4242,1,1
94,11.7347693533784,-0.618428990776634,2.64,0.92,0.94,0.88,ay3_u001_image_sequences,106.6673,1,1
95,-36.2575376111480,9.20744613521815,0.98,0.93,0.93,0.90,ay3_u001_image_sequences,106.6373,1,1
96,-20.3197009811664,-11.6731388960149,0.81,0.93,0.92,0.88,ay3_u001_image_sequences,83.0395,1,1
97,-10.5415986160025,-2.22752903611914,1.30,0.94,0.92,0.93,ay3_u001_image_sequences,84.9083,1,1
98,39.9015536810851,-7.65341243007924,1.13,0.89,0.89,0.84,ay3_u001_image_sequences,73.4071,1,1
99,-8.38311119732401,-11.3512465337546,0.95,0.87,0.87,0.89,ay3_u001_image_sequences,62.1746,1,1
100,-3.44769499530475,-3.03247400593288,2.26,0.92,0.93,0.88,ay3_u001_image_sequences,107.549,1,1
101,-22.0709125937434,-10.6216758659948,1.52,0.88,0.85,0.61,ay3_u002_image_sequences,101.5326,1,1
102,-16.7034724056552,-8.63872128799234,1.31,0.87,0.87,0.73,ay3_u002_image_sequences,105.9307,1,1
103,-43.7965237138519,-9.97632436805930,1.29,0.94,0.91,0.82,ay3_u002_image_sequences,93.3074,1,1
104,-0.102966966686675,3.06768813339629,2.80,0.88,0.82,0.49,ay3_u002_image_sequences,104.9207,1,1
105,-39.1579264689664,14.8350027229578,1.07,0.89,0.86,0.59,ay3_u002_image_sequences,104.9132,1,1
106,-48.2338034765218,-5.23780683304985,0.90,0.90,0.90,0.74,ay3_u002_image_sequences,84.9883,1,1
107,-31.0264251779738,-11.8020610698590,2.00,0.88,0.87,0.61,ay3_u002_image_sequences,86.3547,1,1
108,-30.9977869316904,-10.4466772885472,1.29,0.91,0.73,0.29,ay3_u002_image_sequences,72.2898,1,1
109,3.10322214053269,14.8014111181723,0.84,0.94,0.92,0.78,ay3_u002_image_sequences,63.4753,1,1
110,-26.3394114215534,0.189270029176346,2.29,0.91,0.90,0.74,ay3_u002_image_sequences,107.481,1,1
111,-9.83764174287516,-12.0388951416741,1.44,0.92,0.87,0.65,ay3_u002_image_sequences,99.0342,1,1
112,23.4533736280047,-8.91076049043442,1.23,0.92,0.91,0.79,ay3_u002_image_sequences,103.6573,1,1
113,-1.89474653519773,-6.84106622686945,1.40,0.94,0.89,0.73,ay3_u002_image_sequences,87.4242,1,1
114,11.8519678431583,1.77911438431415,3.30,0.90,0.87,0.62,ay3_u002_image_sequences,106.6673,1,1
115,-8.89206031912177,-2.79031809176757,1.40,0.87,0.84,0.65,ay3_u002_image_sequences,106.6373,1,1
116,-48.5804111000848,-22.5131898321022,1.40,0.87,0.87,0.73,ay3_u002_image_sequences,83.0395,1,1
117,-12.4408365146019,2.63838474987692,2.17,0.83,0.84,0.72,ay3_u002_image_sequences,84.9083,1,1
118,20.6840916525225,-12.8411240005510,1.50,0.80,0.75,0.55,ay3_u002_image_sequences,73.4071,1,1
119,-20.9588536041634,7.74303471600619,0.65,0.94,0.90,0.84,ay3_u002_image_sequences,62.1746,1,1
120,9.87785637695744,-1.70660973033715,3.10,0.89,0.87,0.67,ay3_u002_image_sequences,107.549,1,1
121,-0.585958775711988,48.4787003100919,0.25,0.92,0.78,0.79,ay2_u007_image_sequences,101.5326,1,1
122,14.3038553649247,10.1991742316277,0.36,0.95,0.89,0.84,ay2_u007_image_sequences,105.9307,1,1
123,79.1082701580868,68.1385926221652,0.15,0.95,0.87,0.86,ay2_u007_image_sequences,93.3074,1,1
124,74.8290132432415,71.8938773686046,0.09,0.92,0.82,0.86,ay2_u007_image_sequences,104.9207,1,1
125,52.3450251549912,69.4156207786591,0.08,0.91,0.74,0.79,ay2_u007_image_sequences,104.9132,1,1
126,60.3705006327599,3.07055434492874,0.43,0.94,0.86,0.78,ay2_u007_image_sequences,84.9883,1,1
127,33.3539505071844,6.73706828596573,0.38,0.92,0.80,0.73,ay2_u007_image_sequences,86.3547,1,1
128,55.1041789259408,45.0113495165734,0.31,0.95,0.86,0.83,ay2_u007_image_sequences,72.2898,1,1
129,68.6369611737070,34.9836099803775,0.20,0.90,0.76,0.70,ay2_u007_image_sequences,63.4753,1,1
130,69.2857747923572,68.8108203752590,0.01,0.87,0.74,0.68,ay2_u007_image_sequences,107.481,1,1
131,4.43160906675157,22.9750129713815,0.46,0.94,0.82,0.80,ay2_u007_image_sequences,99.0342,1,1
132,-46.3919360701258,59.9344483292289,0.25,0.93,0.81,0.84,ay2_u007_image_sequences,103.6573,1,1
133,50.4746025048440,4.93776996221658,0.53,0.94,0.84,0.82,ay2_u007_image_sequences,87.4242,1,1
134,50.5969004396129,69.3521948311973,0.06,0.93,0.85,0.76,ay2_u007_image_sequences,106.6673,1,1
135,35.0767950594264,33.2073042486678,0.45,0.93,0.84,0.80,ay2_u007_image_sequences,106.6373,1,1
136,36.8450300304974,32.4945674372273,0.18,0.93,0.80,0.82,ay2_u007_image_sequences,83.0395,1,1
137,-7.73926948769832,32.7293396102979,0.31,0.95,0.85,0.69,ay2_u007_image_sequences,84.9083,1,1
138,29.4465900808465,16.4479101880864,0.32,0.94,0.86,0.86,ay2_u007_image_sequences,73.4071,1,1
139,116.797675972085,103.331561535319,0.08,0.77,0.71,0.77,ay2_u007_image_sequences,62.1746,1,1
140,51.4039377718869,68.3841196814797,0.06,0.92,0.78,0.76,ay2_u007_image_sequences,107.549,1,1
141,-10.3302984711845,51.0632117309045,0.53,0.76,0.79,0.76,ay5_u002_image_sequences,101.5326,1,1
142,32.9704554718900,-3.90997514415079,1.25,0.63,0.62,0.55,ay5_u002_image_sequences,105.9307,1,1
143,85.9521552488437,83.2330979448485,0.01,0.61,0.61,0.80,ay5_u002_image_sequences,93.3074,1,1
144,10.1008454501394,31.4331678248024,0.80,0.66,0.70,0.62,ay5_u002_image_sequences,104.9207,1,1
145,23.1880823444450,49.3346423850876,0.61,0.81,0.85,0.87,ay5_u002_image_sequences,104.9132,1,1
146,94.8720570410800,82.4165578011306,0.19,0.79,0.79,0.80,ay5_u002_image_sequences,84.9883,1,1
147,93.0074887348608,90.8203701229584,0.02,0.73,0.75,0.77,ay5_u002_image_sequences,86.3547,1,1
148,106.724928523044,104.668330377749,0.02,0.79,0.79,0.85,ay5_u002_image_sequences,72.2898,1,1
149,116.425174338261,55.8011316520763,0.26,0.78,0.82,0.80,ay5_u002_image_sequences,63.4753,1,1
150,-18.0390951682684,38.5515364807448,0.61,0.73,0.76,0.70,ay5_u002_image_sequences,107.481,1,1
151,-16.2707811888445,44.4459558078885,0.47,0.78,0.79,0.81,ay5_u002_image_sequences,99.0342,1,1
152,3.18959397829161,66.7876362752022,0.41,0.56,0.55,0.67,ay5_u002_image_sequences,103.6573,1,1
153,22.4669066162818,40.0748831894240,0.46,0.84,0.85,0.86,ay5_u002_image_sequences,87.4242,1,1
154,48.5870316436389,-5.74816001940047,1.30,0.63,0.64,0.56,ay5_u002_image_sequences,106.6673,1,1
155,-17.6147168035226,66.5178224897058,0.29,0.76,0.82,0.81,ay5_u002_image_sequences,106.6373,1,1
156,96.8864997025419,72.6167576673169,0.27,0.83,0.86,0.87,ay5_u002_image_sequences,83.0395,1,1
157,5.40862819156035,75.3723448692615,0.28,0.78,0.78,0.77,ay5_u002_image_sequences,84.9083,1,1
158,52.1159918846225,-10.5604861701696,0.78,0.81,0.82,0.81,ay5_u002_image_sequences,73.4071,1,1
159,63.5386187343397,26.5456435991547,0.57,0.70,0.74,0.66,ay5_u002_image_sequences,62.1746,1,1
160,-12.2367437095163,54.0466530173515,0.48,0.79,0.81,0.81,ay5_u002_image_sequences,107.549,1,1
161,-7.33422105134281,1.28832240060504,1.08,0.94,0.90,0.85,ay5_u005_image_sequences,101.5326,1,1
162,-16.6115602051173,2.68400606072917,0.95,0.94,0.90,0.85,ay5_u005_image_sequences,105.9307,1,1
163,11.6763324741725,74.8045256169297,0.49,0.85,0.82,0.80,ay5_u005_image_sequences,93.3074,1,1
164,3.47413116680860,1.64491969211960,1.01,0.93,0.89,0.83,ay5_u005_image_sequences,104.9207,1,1
165,43.9001645729643,68.1968359900934,0.24,0.90,0.86,0.83,ay5_u005_image_sequences,104.9132,1,1
166,8.53277274236715,41.2843161737319,0.30,0.89,0.84,0.77,ay5_u005_image_sequences,84.9883,1,1
167,49.3861187495902,-10.7722709243633,1.63,0.93,0.88,0.75,ay5_u005_image_sequences,86.3547,1,1
168,25.7525068859939,16.5045373905129,0.90,0.91,0.89,0.80,ay5_u005_image_sequences,72.2898,1,1
169,31.7721193871606,4.78046692907788,0.62,0.93,0.88,0.75,ay5_u005_image_sequences,63.4753,1,1
